questiongroup_id,sequence,id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
54,1,Are you trained on ALP?,Are you trained on ALP?,Training,"{Yes,No}",True,1,AC,,,શું તમે ALP પર પ્રશિક્ષિત છો?,"{હા,ના}"
54,2,Do you have the instruction set for classroom monitoring?,Do you have the instruction set for classroom monitoring?,Instruction set,"{Yes,No}",True,1,AC,,,શું તમારી પાસે વર્ગમાં દેખરેખ માટે સૂચના સેટ છે?,"{હા,ના}"
54,3,Is the math teacher conducting the math class?,Did you observe math teacher conducting math class?,ivrss-math-class-happening,"{Yes,No}",True,1,AC,,,શું ગણિત શિક્ષક ગણિત વર્ગનું સંચાલન કરે છે?,"{હા,ના}"
54,4,Is the math teacher trained on ALP?,How many responses indicate that the teacher is trained on ALP?,ivrss-gka-trained,"{Yes,No}",True,1,AC,,,શું ગણિત શિક્ષક ALP પર પ્રશિક્ષિત છે?,"{હા,ના}"
54,5,Is the teacher carrying out the expected day’s lesson plan as per ALP?,How many responses indicate that teacher is carrying out the expected day's lesson plan as per ALP?,Lesson carried out,"{Yes,No}",True,1,AC,,,શું શિક્ષક ALP મુજબ અપેક્ષિત દિવસની પાઠ યોજના (Lesson Plan) કરે છે?,"{હા,ના}"
54,6,Is the ALP lesson plan on schedule?,How many responses indicate that the ALP lesson plan is on schedule?,On Schedule,"{Yes,No}",True,1,AC,,,શું ALP પાઠ યોજના શેડ્યૂલ મુજબ  છે?,"{હા,ના}"
54,7,Is the teacher using the TLM suggested?,How many responses indicate that the teacher is using suggested TLM?,ivrss-gka-tlm-in-use,"{Yes,No}",True,1,AC,,,શું માર્ગદર્શિકા મુજબ શિક્ષક TLM.નો ઉપયોગ કરે છે?,"{હા,ના}"
54,8,Are the children using the TLM applicable for the day?,Are the children using the TLM applicable for the day?,TLM usage,"{Yes,No}",True,1,AC,,,શું બાળકો દિવસ માટે લાગુ પડતા TLM.નો ઉપયોગ કરે છે?,"{હા,ના}"
54,9,Is the representational stage of CRA being carried out using the square-ruled books?,Is the representational stage of CRA being carried out using the square-ruled books?,ivrss-gka-rep-stage,"{Yes,No}",True,1,AC,,,CRAના રેપ્રેસેંટેશન સ્ટેજની પ્રેકટીસ square-line નોટબુકમાં થઈ રહી છે?,"{હા,ના}"
54,10,Is a group activity being conducted correctly?,Is a group activity being conducted correctly?,ivrss-group-work,"{Yes,No}",True,1,AC,,,શું એક જૂથ પ્રવૃત્તિ (ગ્રુપ એકટીવીટી ) યોગ્ય રીતે કરવામાં આવી રહી છે?,"{હા,ના}"
54,11,Is the ALP student performance record books up to date?,Is the ALP student performance record books up to date?,Record book,"{Yes,No}",True,1,AC,,,ALP વિદ્યાર્થી કામગીરી રેકોર્ડ પુસ્તકો અપ ટુ ડેટ છે?,"{હા,ના}"
54,12,Do you want to record any additional inputs from the teacher (innovation / challenges)?,Do you want to record any additional inputs from the teacher (innovation / challenges)?,Additional inputs,"{Yes,No}",True,5,AC,,,શું તમે શિક્ષક પાસેથી કોઈ વધારાના ઇનપુટ્સ રેકોર્ડ કરવા માંગો છો (નવીનતા / પડકારો)?,"{હા,ના}"
