questiongroup_id|sequence|concept|microconceptgroup|microconcept|questionlevel|questioninformationtype|learningindicator
45|3|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
45|4|number_sense|numbers|odd_number_and_even_numbers|beginner|abstract|knowledge
45|5|number_sense|place_value|identify_place_value_for_a_given_number|beginner|abstract|understanding
45|6|number_operations|addition|addition_without_carry(abstract)|beginner|abstract|understanding
45|7|number_operations|subtraction|subtraction_without_borrow(abstract)|beginner|abstract|understanding
45|8|number_operations|multiplication|multiply_and_divide_by_10s,100s_and_1000s|beginner|abstract|understanding
45|9|number_operations|division|long_division_without_remainder|beginner|abstract|understanding
45|10|measurements|money|word_problem_measurements_money|intermediate|comprehend|application_or_analytical_skills
45|11|shapes|flat_shapes|2d_shapes_attributes|beginner|visual|application_or_analytical_skills
45|12|measurements|time|read_time|beginner|semi_abstract|application_or_analytical_skills
45|13|number_sense|sequence|before_and_after|beginner|abstract|knowledge
45|14|number_sense|sequence|arranging_in_ascending_or_descending_order|beginner|abstract|understanding
45|15|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
45|16|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
45|17|number_operations|multiplication|long_multiplication(abstract)|intermediate|abstract|understanding
45|18|number_operations|division|long_division_with_remainder|beginner|abstract|understanding
45|19|measurements|length_or_weight_or_volume|word_problem_length_or_weight_or_volume|intermediate|comprehend|application_or_analytical_skills
45|20|shapes|flat_shapes|identify_2d_shapes(pictures)|beginner|visual|application_or_analytical_skills
45|21|shapes|patterns_in_shapes|observes_and_extends_patterns_in_sequence_of_shapes|beginner|visual|application_or_analytical_skills
45|22|number_sense|fractions|fractions_using_pictures|beginner|semi_abstract|understanding
